cc_wallet total: 290s
87.44s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade_with_multiple_colours
46.40s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend
41.74s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_create_offer_with_zero_val
39.61s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade
30.13s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend_uncoloured
17.18s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_generate_zero_val
8.66s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_get_wallet_for_colour
7.98s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_colour_creation
1.40s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_generate_zero_val
1.16s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_create_offer_with_zero_val
1.03s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_get_wallet_for_colour
0.92s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_colour_creation
0.89s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend
0.81s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade_with_multiple_colours
0.81s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend_uncoloured
0.70s setup    cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade
0.46s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend
0.41s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade_with_multiple_colours
0.38s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_create_offer_with_zero_val
0.35s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade
0.30s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_get_wallet_for_colour
0.27s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend_uncoloured
0.23s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_generate_zero_val
0.23s teardown cc_wallet/test_cc_wallet.py::TestColouredCoins::test_colour_creation


Total: 932
85.83s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade_with_multiple_colours
66.47s call     test_simulation.py::TestSimulation::test_simulation_1
55.79s call     wallet/test_wallet_sync.py::TestWalletSync::test_short_sync_with_transactions_wallet
53.73s call     wallet/test_wallet_sync.py::TestWalletSync::test_basic_sync_wallet
50.39s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend
39.32s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_create_offer_with_zero_val
36.63s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_trade
29.92s call     full_node/test_transactions.py::TestTransactions::test_tx_propagation
28.82s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_cc_spend_uncoloured
24.34s call     full_node/test_node_load.py::TestNodeLoad::test_unfinished_blocks_load
21.74s call     wallet/test_wallet_sync.py::TestWalletSync::test_fast_sync_wallet
20.64s call     full_node/test_node_load.py::TestNodeLoad::test_blocks_load
19.80s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_generate_zero_val
16.53s call     full_node/test_full_node.py::TestFullNodeProtocol::test_respond_unfinished
16.52s call     rpc/test_farmer_harvester_rpc.py::TestRpc::test1
16.25s call     util/test_streamable.py::TestStreamable::test_json
15.48s call     full_node/test_block_store.py::TestBlockStore::test_deadlock
15.19s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_make_transaction
15.17s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_make_transaction_with_fee
14.16s call     full_node/test_full_sync.py::TestFullSync::test_basic_sync
11.94s call     full_node/test_transactions.py::TestTransactions::test_mempool_tx_sync
11.76s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_coinbase_reorg
10.04s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_send_to_three_peers
9.68s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_make_transaction_hop
8.66s setup    rpc/test_farmer_harvester_rpc.py::TestRpc::test1
8.36s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_colour_creation
7.68s call     full_node/test_full_node.py::TestFullNodeProtocol::test_new_transaction
7.37s call     cc_wallet/test_cc_wallet.py::TestColouredCoins::test_get_wallet_for_colour
6.71s call     full_node/test_full_node.py::TestFullNodeProtocol::test_new_pot
6.62s call     full_node/test_full_sync.py::TestFullSync::test_short_sync
5.97s call     rpc/test_full_node_rpc.py::TestRpc::test1
5.25s call     full_node/test_full_node.py::TestFullNodeProtocol::test_new_unfinished
4.78s call     wallet/test_wallet.py::TestWalletSimulator::test_wallet_coinbase
4.74s call     full_node/test_transactions.py::TestTransactions::test_wallet_coinbase
4.51s call     full_node/test_blockchain_transactions.py::TestBlockchainTransactions::test_assert_time_exceeds
4.22s call     full_node/test_mempool.py::TestMempool::test_coinbase_freeze
4.01s teardown test_simulation.py::TestSimulation::test_simulation_1
3.93s call     wallet/test_wallet_sync.py::TestWalletSync::test_short_sync_wallet
3.86s call     full_node/test_blockchain_transactions.py::TestBlockchainTransactions::test_validate_blockchain_spend_reorg_since_genesis
3.84s teardown full_node/test_full_sync.py::TestFullSync::test_basic_sync
3.55s teardown rpc/test_farmer_harvester_rpc.py::TestRpc::test1
3.48s call     full_node/test_mempool.py::TestMempool::test_assert_time_exceeds_both_cases
3.41s call     full_node/test_blockchain_transactions.py::TestBlockchainTransactions::test_validate_blockchain_with_reorg_double_spend
3.19s setup    test_simulation.py::TestSimulation::test_simulation_1
